"","names","ensb","hugo"
"48","ENSG00000004142.7","ENSG00000004142","POLDIP2"
"49","ENSG00000004399.8","ENSG00000004399","PLXND1"
"50","ENSG00000004455.12","ENSG00000004455","AK2"
"51","ENSG00000004468.8","ENSG00000004468","CD38"
"52","ENSG00000004478.5","ENSG00000004478","FKBP4"
"53","ENSG00000004487.11","ENSG00000004487","KDM1A"
"54","ENSG00000004534.10","ENSG00000004534","RBM6"
"55","ENSG00000004660.10","ENSG00000004660","CAMKK1"
"56","ENSG00000004700.11","ENSG00000004700","RECQL"
"57","ENSG00000004766.11","ENSG00000004766","VPS50"
"58","ENSG00000004776.7","ENSG00000004776","HSPB6"
"59","ENSG00000004777.14","ENSG00000004777","ARHGAP33"
"60","ENSG00000004779.5","ENSG00000004779","NDUFAB1"
"61","ENSG00000004799.7","ENSG00000004799","PDK4"
"62","ENSG00000004809.9","ENSG00000004809","SLC22A16"
"63","ENSG00000004838.9","ENSG00000004838","ZMYND10"
"64","ENSG00000004846.12","ENSG00000004846","ABCB5"
"65","ENSG00000004848.6","ENSG00000004848","ARX"
"66","ENSG00000004864.9","ENSG00000004864","SLC25A13"
"67","ENSG00000004866.14","ENSG00000004866","ST7"
"68","ENSG00000004897.7","ENSG00000004897","CDC27"
"69","ENSG00000004939.9","ENSG00000004939","SLC4A1"
"70","ENSG00000004948.9","ENSG00000004948","CALCR"
"71","ENSG00000004961.10","ENSG00000004961","HCCS"
"72","ENSG00000004975.7","ENSG00000004975","DVL2"
"73","ENSG00000005001.5","ENSG00000005001","PRSS22"
"74","ENSG00000005007.8","ENSG00000005007","UPF1"
"75","ENSG00000005020.8","ENSG00000005020","SKAP2"
"76","ENSG00000005022.5","ENSG00000005022","SLC25A5"
"77","ENSG00000005059.11","ENSG00000005059","MCUB"
"78","ENSG00000005073.5","ENSG00000005073","HOXA11"
"79","ENSG00000005075.11","ENSG00000005075","POLR2J"
"80","ENSG00000005100.8","ENSG00000005100","DHX33"
"81","ENSG00000005102.8","ENSG00000005102","MEOX1"
"82","ENSG00000005108.11","ENSG00000005108","THSD7A"
"83","ENSG00000005156.7","ENSG00000005156","LIG3"
"84","ENSG00000005175.5","ENSG00000005175","RPAP3"
"85","ENSG00000005187.7","ENSG00000005187","ACSM3"
"86","ENSG00000005189.15","ENSG00000005189","REXO5"
"87","ENSG00000005194.10","ENSG00000005194","CIAPIN1"
"88","ENSG00000005206.12","ENSG00000005206","SPPL2B"
"89","ENSG00000005238.15","ENSG00000005238","FAM214B"
"90","ENSG00000005243.5","ENSG00000005243","COPZ2"
"91","ENSG00000005249.8","ENSG00000005249","PRKAR2B"
"92","ENSG00000005302.13","ENSG00000005302","MSL3"
"93","ENSG00000005339.8","ENSG00000005339","CREBBP"
"94","ENSG00000005379.11","ENSG00000005379","TSPOAP1"
"95","ENSG00000005381.6","ENSG00000005381","MPO"
"96","ENSG00000005421.4","ENSG00000005421","PON1"
"97","ENSG00000005436.9","ENSG00000005436","GCFC2"
"98","ENSG00000005448.12","ENSG00000005448","WDR54"
"99","ENSG00000005469.7","ENSG00000005469","CROT"
"100","ENSG00000005471.11","ENSG00000005471","ABCB4"
"101","ENSG00000005483.15","ENSG00000005483","KMT2E"
"102","ENSG00000005486.12","ENSG00000005486","RHBDD2"
"103","ENSG00000005513.9","ENSG00000005513","SOX8"
"104","ENSG00000005700.10","ENSG00000005700","IBTK"
"105","ENSG00000005801.12","ENSG00000005801","ZNF195"
