"","names","ensb","hugo"
"18140","ENSG00000198521.7","ENSG00000198521","ZNF43"
"18141","ENSG00000198522.9","ENSG00000198522","GPN1"
"18142","ENSG00000198523.5","ENSG00000198523","PLN"
"18143","ENSG00000198526.6","ENSG00000198526","PABPC1P2"
"18144","ENSG00000198535.5","ENSG00000198535","C2CD4A"
"18145","ENSG00000198538.6","ENSG00000198538","ZNF28"
"18146","ENSG00000198542.9","ENSG00000198542","ITGBL1"
"18147","ENSG00000198546.10","ENSG00000198546","ZNF511"
"18148","ENSG00000198547.4","ENSG00000198547","C20orf203"
"18149","ENSG00000198551.5","ENSG00000198551","ZNF627"
"18150","ENSG00000198553.4","ENSG00000198553","KCNRG"
"18151","ENSG00000198554.7","ENSG00000198554","WDHD1"
"18152","ENSG00000198555.7","ENSG00000198555","AC133561.1"
"18153","ENSG00000198556.9","ENSG00000198556","ZNF789"
"18154","ENSG00000198558.2","ENSG00000198558","ENSG00000198558.2"
"18155","ENSG00000198561.8","ENSG00000198561","CTNND1"
"18156","ENSG00000198563.9","ENSG00000198563","DDX39B"
"18157","ENSG00000198566.7","ENSG00000198566","ENSG00000198566.7"
"18158","ENSG00000198569.5","ENSG00000198569","SLC34A3"
"18159","ENSG00000198570.5","ENSG00000198570","RD3"
"18160","ENSG00000198573.6","ENSG00000198573","SPANXC"
"18161","ENSG00000198574.4","ENSG00000198574","SH2D1B"
"18162","ENSG00000198576.2","ENSG00000198576","ARC"
"18163","ENSG00000198580.6","ENSG00000198580","AC073343.1"
"18164","ENSG00000198585.7","ENSG00000198585","NUDT16"
"18165","ENSG00000198586.9","ENSG00000198586","TLK1"
"18166","ENSG00000198589.6","ENSG00000198589","LRBA"
"18167","ENSG00000198590.7","ENSG00000198590","C3orf35"
"18168","ENSG00000198597.4","ENSG00000198597","ZNF536"
"18169","ENSG00000198598.2","ENSG00000198598","MMP17"
"18170","ENSG00000198601.2","ENSG00000198601","OR2M2"
"18171","ENSG00000198604.6","ENSG00000198604","BAZ1A"
"18172","ENSG00000198610.6","ENSG00000198610","AKR1C4"
"18173","ENSG00000198612.6","ENSG00000198612","COPS8"
"18174","ENSG00000198618.4","ENSG00000198618","PPIAP22"
"18175","ENSG00000198624.8","ENSG00000198624","CCDC69"
"18176","ENSG00000198625.8","ENSG00000198625","MDM4"
"18177","ENSG00000198626.11","ENSG00000198626","RYR2"
"18178","ENSG00000198632.7","ENSG00000198632","ENSG00000198632.7"
"18179","ENSG00000198633.6","ENSG00000198633","ZNF534"
"18180","ENSG00000198642.5","ENSG00000198642","KLHL9"
"18181","ENSG00000198643.2","ENSG00000198643","FAM3D"
"18182","ENSG00000198646.9","ENSG00000198646","NCOA6"
"18183","ENSG00000198648.6","ENSG00000198648","STK39"
"18184","ENSG00000198650.6","ENSG00000198650","TAT"
"18185","ENSG00000198657.3","ENSG00000198657","ENSG00000198657.3"
"18186","ENSG00000198658.4","ENSG00000198658","ABHD17AP1"
"18187","ENSG00000198663.12","ENSG00000198663","C6orf89"
"18188","ENSG00000198668.6","ENSG00000198668","CALM1"
"18189","ENSG00000198670.7","ENSG00000198670","LPA"
"18190","ENSG00000198671.2","ENSG00000198671","AC135895.1"
"18191","ENSG00000198673.6","ENSG00000198673","FAM19A2"
"18192","ENSG00000198674.3","ENSG00000198674","OR10G6"
"18193","ENSG00000198677.6","ENSG00000198677","TTC37"
"18194","ENSG00000198678.5","ENSG00000198678","AC089987.1"
"18195","ENSG00000198680.3","ENSG00000198680","TUSC1"
"18196","ENSG00000198681.5","ENSG00000198681","MAGEA1"
"18197","ENSG00000198682.8","ENSG00000198682","PAPSS2"
"18198","ENSG00000198683.2","ENSG00000198683","ENSG00000198683.2"
"18199","ENSG00000198685.2","ENSG00000198685","LINC01565"
"18200","ENSG00000198689.5","ENSG00000198689","SLC9A6"
"18201","ENSG00000198690.5","ENSG00000198690","FAN1"
"18202","ENSG00000198691.7","ENSG00000198691","ABCA4"
"18203","ENSG00000198692.5","ENSG00000198692","EIF1AY"
"18204","ENSG00000198695.2","ENSG00000198695","MT-ND6"
"18205","ENSG00000198700.5","ENSG00000198700","IPO9"
"18206","ENSG00000198703.2","ENSG00000198703","OR10R3P"
"18207","ENSG00000198704.5","ENSG00000198704","GPX6"
"18208","ENSG00000198707.10","ENSG00000198707","CEP290"
"18209","ENSG00000198711.4","ENSG00000198711","SSBP3-AS1"
"18210","ENSG00000198712.1","ENSG00000198712","MT-CO2"
"18211","ENSG00000198715.7","ENSG00000198715","GLMP"
"18212","ENSG00000198718.8","ENSG00000198718","TOGARAM1"
"18213","ENSG00000198719.7","ENSG00000198719","DLL1"
"18214","ENSG00000198720.8","ENSG00000198720","ANKRD13B"
"18215","ENSG00000198721.8","ENSG00000198721","ECI2"
"18216","ENSG00000198722.8","ENSG00000198722","UNC13B"
"18217","ENSG00000198723.6","ENSG00000198723","TEX45"
"18218","ENSG00000198727.2","ENSG00000198727","MT-CYB"
"18219","ENSG00000198728.6","ENSG00000198728","LDB1"
"18220","ENSG00000198729.4","ENSG00000198729","PPP1R14C"
"18221","ENSG00000198730.3","ENSG00000198730","CTR9"
"18222","ENSG00000198732.6","ENSG00000198732","SMOC1"
"18223","ENSG00000198734.6","ENSG00000198734","F5"
"18224","ENSG00000198736.7","ENSG00000198736","MSRB1"
"18225","ENSG00000198738.4","ENSG00000198738","SMIM11P1"
"18226","ENSG00000198739.6","ENSG00000198739","LRRTM3"
"18227","ENSG00000198740.4","ENSG00000198740","ZNF652"
"18228","ENSG00000198742.5","ENSG00000198742","SMURF1"
"18229","ENSG00000198743.5","ENSG00000198743","SLC5A3"
"18230","ENSG00000198744.5","ENSG00000198744","MTCO3P12"
"18231","ENSG00000198746.8","ENSG00000198746","GPATCH3"
"18232","ENSG00000198750.7","ENSG00000198750","ENSG00000198750.7"
"18233","ENSG00000198752.5","ENSG00000198752","CDC42BPB"
"18234","ENSG00000198753.7","ENSG00000198753","PLXNB3"
"18235","ENSG00000198754.5","ENSG00000198754","OXCT2"
"18236","ENSG00000198755.6","ENSG00000198755","RPL10A"
"18237","ENSG00000198756.6","ENSG00000198756","COLGALT2"
"18238","ENSG00000198758.6","ENSG00000198758","EPS8L3"
"18239","ENSG00000198759.7","ENSG00000198759","EGFL6"
"18240","ENSG00000198763.3","ENSG00000198763","MT-ND2"
"18241","ENSG00000198765.7","ENSG00000198765","SYCP1"
"18242","ENSG00000198768.6","ENSG00000198768","APCDD1L"
"18243","ENSG00000198771.6","ENSG00000198771","RCSD1"
"18244","ENSG00000198774.3","ENSG00000198774","RASSF9"
"18245","ENSG00000198780.7","ENSG00000198780","FAM169A"
"18246","ENSG00000198783.4","ENSG00000198783","ZNF830"
"18247","ENSG00000198785.4","ENSG00000198785","GRIN3A"
"18248","ENSG00000198786.2","ENSG00000198786","MT-ND5"
"18249","ENSG00000198787.5","ENSG00000198787","OR4D12P"
"18250","ENSG00000198788.7","ENSG00000198788","MUC2"
"18251","ENSG00000198791.7","ENSG00000198791","CNOT7"
"18252","ENSG00000198792.8","ENSG00000198792","TMEM184B"
"18253","ENSG00000198793.8","ENSG00000198793","MTOR"
"18254","ENSG00000198794.7","ENSG00000198794","SCAMP5"
"18255","ENSG00000198795.6","ENSG00000198795","ZNF521"
"18256","ENSG00000198796.6","ENSG00000198796","ALPK2"
"18257","ENSG00000198797.6","ENSG00000198797","BRINP2"
"18258","ENSG00000198798.4","ENSG00000198798","MAGEB3"
"18259","ENSG00000198799.7","ENSG00000198799","LRIG2"
"18260","ENSG00000198804.2","ENSG00000198804","MT-CO1"
"18261","ENSG00000198805.7","ENSG00000198805","PNP"
"18262","ENSG00000198807.8","ENSG00000198807","PAX9"
"18263","ENSG00000198812.3","ENSG00000198812","LRRC10"
"18264","ENSG00000198814.8","ENSG00000198814","GK"
"18265","ENSG00000198815.4","ENSG00000198815","FOXJ3"
"18266","ENSG00000198816.5","ENSG00000198816","ZNF358"
"18267","ENSG00000198818.5","ENSG00000198818","SFT2D1"
"18268","ENSG00000198821.6","ENSG00000198821","CD247"
"18269","ENSG00000198822.6","ENSG00000198822","GRM3"
"18270","ENSG00000198824.4","ENSG00000198824","CHAMP1"
"18271","ENSG00000198825.7","ENSG00000198825","INPP5F"
"18272","ENSG00000198826.6","ENSG00000198826","ARHGAP11A"
"18273","ENSG00000198829.5","ENSG00000198829","SUCNR1"
"18274","ENSG00000198830.6","ENSG00000198830","HMGN2"
"18275","ENSG00000198832.6","ENSG00000198832","SELENOM"
"18276","ENSG00000198833.6","ENSG00000198833","UBE2J1"
"18277","ENSG00000198835.3","ENSG00000198835","GJC2"
"18278","ENSG00000198836.4","ENSG00000198836","OPA1"
"18279","ENSG00000198837.5","ENSG00000198837","DENND4B"
"18280","ENSG00000198838.7","ENSG00000198838","RYR3"
"18281","ENSG00000198839.5","ENSG00000198839","ZNF277"
"18282","ENSG00000198840.2","ENSG00000198840","MT-ND3"
"18283","ENSG00000198841.3","ENSG00000198841","KTI12"
"18284","ENSG00000198842.5","ENSG00000198842","DUSP27"
"18285","ENSG00000198843.8","ENSG00000198843","SELENOT"
"18286","ENSG00000198844.6","ENSG00000198844","ARHGEF15"
"18287","ENSG00000198846.5","ENSG00000198846","TOX"
"18288","ENSG00000198848.8","ENSG00000198848","CES1"
"18289","ENSG00000198851.5","ENSG00000198851","CD3E"
"18290","ENSG00000198853.7","ENSG00000198853","RUSC2"
"18291","ENSG00000198854.4","ENSG00000198854","C1orf68"
"18292","ENSG00000198855.2","ENSG00000198855","FICD"
"18293","ENSG00000198856.8","ENSG00000198856","OSTC"
"18294","ENSG00000198857.3","ENSG00000198857","HSD3BP5"
"18295","ENSG00000198858.5","ENSG00000198858","R3HDM4"
"18296","ENSG00000198860.7","ENSG00000198860","TSEN15"
"18297","ENSG00000198862.9","ENSG00000198862","LTN1"
"18298","ENSG00000198863.3","ENSG00000198863","RUNDC1"
"18299","ENSG00000198865.5","ENSG00000198865","CCDC152"
"18300","ENSG00000198868.3","ENSG00000198868","MTND4LP30"
"18301","ENSG00000198870.6","ENSG00000198870","STKLD1"
"18302","ENSG00000198873.10","ENSG00000198873","GRK5"
"18303","ENSG00000198874.8","ENSG00000198874","TYW1"
"18304","ENSG00000198876.8","ENSG00000198876","DCAF12"
"18305","ENSG00000198877.1","ENSG00000198877","ENSG00000198877.1"
"18306","ENSG00000198879.7","ENSG00000198879","SFMBT2"
"18307","ENSG00000198881.8","ENSG00000198881","ASB12"
"18308","ENSG00000198883.7","ENSG00000198883","PNMA5"
"18309","ENSG00000198885.5","ENSG00000198885","ITPRIPL1"
"18310","ENSG00000198886.2","ENSG00000198886","MT-ND4"
"18311","ENSG00000198887.7","ENSG00000198887","SMC5"
"18312","ENSG00000198888.2","ENSG00000198888","MT-ND1"
"18313","ENSG00000198889.3","ENSG00000198889","DCAF12L1"
"18314","ENSG00000198890.6","ENSG00000198890","PRMT6"
"18315","ENSG00000198892.6","ENSG00000198892","SHISA4"
"18316","ENSG00000198894.3","ENSG00000198894","CIPC"
"18317","ENSG00000198898.8","ENSG00000198898","CAPZA2"
"18318","ENSG00000198899.2","ENSG00000198899","MT-ATP6"
"18319","ENSG00000198900.5","ENSG00000198900","TOP1"
"18320","ENSG00000198901.9","ENSG00000198901","PRC1"
"18321","ENSG00000198908.7","ENSG00000198908","BHLHB9"
"18322","ENSG00000198909.3","ENSG00000198909","MAP3K3"
"18323","ENSG00000198910.8","ENSG00000198910","L1CAM"
"18324","ENSG00000198911.7","ENSG00000198911","SREBF2"
"18325","ENSG00000198912.6","ENSG00000198912","C1orf174"
"18326","ENSG00000198914.2","ENSG00000198914","POU3F3"
"18327","ENSG00000198915.7","ENSG00000198915","RASGEF1A"
"18328","ENSG00000198917.7","ENSG00000198917","SPOUT1"
"18329","ENSG00000198918.7","ENSG00000198918","RPL39"
"18330","ENSG00000198919.8","ENSG00000198919","DZIP3"
"18331","ENSG00000198920.5","ENSG00000198920","KIAA0753"
"18332","ENSG00000198923.3","ENSG00000198923","AC011611.1"
"18333","ENSG00000198924.3","ENSG00000198924","DCLRE1A"
"18334","ENSG00000198925.6","ENSG00000198925","ATG9A"
"18335","ENSG00000198929.8","ENSG00000198929","NOS1AP"
"18336","ENSG00000198930.8","ENSG00000198930","CSAG1"
"18337","ENSG00000198931.6","ENSG00000198931","APRT"
"18338","ENSG00000198932.8","ENSG00000198932","GPRASP1"
"18339","ENSG00000198933.5","ENSG00000198933","TBKBP1"
"18340","ENSG00000198934.3","ENSG00000198934","MAGEE1"
"18341","ENSG00000198937.8","ENSG00000198937","CCDC167"
"18342","ENSG00000198938.2","ENSG00000198938","MT-CO3"
"18343","ENSG00000198939.3","ENSG00000198939","ZFP2"
"18344","ENSG00000198944.4","ENSG00000198944","SOWAHA"
"18345","ENSG00000198945.3","ENSG00000198945","L3MBTL3"
"18346","ENSG00000198946.3","ENSG00000198946","ENSG00000198946.3"
"18347","ENSG00000198947.10","ENSG00000198947","DMD"
"18348","ENSG00000198948.7","ENSG00000198948","MFAP3L"
"18349","ENSG00000198951.7","ENSG00000198951","NAGA"
"18350","ENSG00000198952.7","ENSG00000198952","SMG5"
"18351","ENSG00000198954.4","ENSG00000198954","KIF1BP"
"18352","ENSG00000198959.7","ENSG00000198959","TGM2"
"18353","ENSG00000198960.6","ENSG00000198960","ARMCX6"
"18354","ENSG00000198961.5","ENSG00000198961","PJA2"
"18355","ENSG00000198963.6","ENSG00000198963","RORB"
"18356","ENSG00000198964.9","ENSG00000198964","SGMS1"
"18357","ENSG00000198965.3","ENSG00000198965","OR10R2"
"18358","ENSG00000198967.3","ENSG00000198967","OR10Z1"
"18359","ENSG00000198972.1","ENSG00000198972","MIRLET7E"
"18360","ENSG00000198973.2","ENSG00000198973","MIR375"
"18361","ENSG00000198974.1","ENSG00000198974","MIR30E"
"18362","ENSG00000198975.1","ENSG00000198975","MIRLET7A2"
"18363","ENSG00000198976.1","ENSG00000198976","MIR429"
"18364","ENSG00000198982.2","ENSG00000198982","MIR380"
"18365","ENSG00000198983.1","ENSG00000198983","MIR449A"
"18366","ENSG00000198984.1","ENSG00000198984","MIR345"
"18367","ENSG00000198986.1","ENSG00000198986","ENSG00000198986.1"
"18368","ENSG00000198987.1","ENSG00000198987","MIR16-2"
"18369","ENSG00000198995.1","ENSG00000198995","MIR340"
"18370","ENSG00000198997.1","ENSG00000198997","MIR107"
"18371","ENSG00000199001.1","ENSG00000199001","MIR448"
"18372","ENSG00000199004.1","ENSG00000199004","ENSG00000199004.1"
"18373","ENSG00000199005.1","ENSG00000199005","MIR370"
"18374","ENSG00000199012.2","ENSG00000199012","MIR412"
"18375","ENSG00000199015.2","ENSG00000199015","MIR377"
"18376","ENSG00000199017.1","ENSG00000199017","MIR1-1"
"18377","ENSG00000199020.1","ENSG00000199020","MIR381"
"18378","ENSG00000199023.1","ENSG00000199023","MIR339"
"18379","ENSG00000199024.1","ENSG00000199024","MIR103A2"
"18380","ENSG00000199025.3","ENSG00000199025","MIR369"
"18381","ENSG00000199030.1","ENSG00000199030","MIRLET7C"
"18382","ENSG00000199031.1","ENSG00000199031","MIR371A"
"18383","ENSG00000199032.1","ENSG00000199032","MIR425"
"18384","ENSG00000199035.1","ENSG00000199035","MIR103A1"
"18385","ENSG00000199036.1","ENSG00000199036","MIR219A1"
"18386","ENSG00000199038.1","ENSG00000199038","MIR210"
"18387","ENSG00000199043.1","ENSG00000199043","MIR335"
"18388","ENSG00000199047.1","ENSG00000199047","MIR378A"
"18389","ENSG00000199051.1","ENSG00000199051","MIR361"
"18390","ENSG00000199053.1","ENSG00000199053","MIR324"
"18391","ENSG00000199059.1","ENSG00000199059","MIR135B"
"18392","ENSG00000199065.2","ENSG00000199065","MIR101-2"
"18393","ENSG00000199066.1","ENSG00000199066","ENSG00000199066.1"
"18394","ENSG00000199069.1","ENSG00000199069","MIR323A"
"18395","ENSG00000199071.2","ENSG00000199071","ENSG00000199071"
"18396","ENSG00000199072.1","ENSG00000199072","MIRLET7F1"
"18397","ENSG00000199075.1","ENSG00000199075","MIR26A1"
"18398","ENSG00000199077.1","ENSG00000199077","MIR129-2"
"18399","ENSG00000199080.1","ENSG00000199080","MIR133B"
"18400","ENSG00000199082.1","ENSG00000199082","MIR342"
"18401","ENSG00000199085.1","ENSG00000199085","MIR148A"
"18402","ENSG00000199088.3","ENSG00000199088","MIR379"
"18403","ENSG00000199090.1","ENSG00000199090","MIR326"
"18404","ENSG00000199092.2","ENSG00000199092","MIR410"
"18405","ENSG00000199094.1","ENSG00000199094","MIR30C2"
"18406","ENSG00000199095.1","ENSG00000199095","MIR372"
"18407","ENSG00000199102.1","ENSG00000199102","MIR302C"
"18408","ENSG00000199104.2","ENSG00000199104","MIR346"
"18409","ENSG00000199107.1","ENSG00000199107","MIR409"
"18410","ENSG00000199109.2","ENSG00000199109","MIR411"
"18411","ENSG00000199121.2","ENSG00000199121","MIR26B"
"18412","ENSG00000199122.1","ENSG00000199122","MIR148B"
"18413","ENSG00000199127.1","ENSG00000199127","MIR383"
"18414","ENSG00000199130.1","ENSG00000199130","MIR365A"
"18415","ENSG00000199132.1","ENSG00000199132","MIR450A1"
"18416","ENSG00000199133.1","ENSG00000199133","MIRLET7D"
"18417","ENSG00000199135.1","ENSG00000199135","MIR101-1"
"18418","ENSG00000199143.1","ENSG00000199143","MIR373"
"18419","ENSG00000199145.1","ENSG00000199145","MIR302D"
"18420","ENSG00000199150.1","ENSG00000199150","MIRLET7G"
"18421","ENSG00000199151.1","ENSG00000199151","MIR337"
"18422","ENSG00000199153.1","ENSG00000199153","MIR30D"
"18423","ENSG00000199156.1","ENSG00000199156","MIR422A"
"18424","ENSG00000199157.1","ENSG00000199157","MIR208A"
"18425","ENSG00000199158.1","ENSG00000199158","MIR96"
"18426","ENSG00000199161.1","ENSG00000199161","MIR126"
"18427","ENSG00000199165.2","ENSG00000199165","MIRLET7A1"
"18428","ENSG00000199168.1","ENSG00000199168","MIR374A"
"18429","ENSG00000199169.1","ENSG00000199169","MIR367"
"18430","ENSG00000199172.1","ENSG00000199172","MIR331"
"18431","ENSG00000199177.1","ENSG00000199177","MIR31"
"18432","ENSG00000199179.1","ENSG00000199179","MIRLET7I"
"18433","ENSG00000199187.1","ENSG00000199187","ENSG00000199187.1"
"18434","ENSG00000199196.1","ENSG00000199196","ENSG00000199196.1"
"18435","ENSG00000199197.1","ENSG00000199197","RN7SKP72"
"18436","ENSG00000199200.1","ENSG00000199200","ENSG00000199200.1"
"18437","ENSG00000199201.1","ENSG00000199201","ENSG00000199201.1"
"18438","ENSG00000199202.1","ENSG00000199202","RNA5SP289"
"18439","ENSG00000199203.1","ENSG00000199203","ENSG00000199203.1"
"18440","ENSG00000199204.1","ENSG00000199204","ENSG00000199204.1"
"18441","ENSG00000199212.1","ENSG00000199212","RNU105C"
"18442","ENSG00000199214.1","ENSG00000199214","ENSG00000199214.1"
"18443","ENSG00000199217.1","ENSG00000199217","RNU6-1123P"
"18444","ENSG00000199218.1","ENSG00000199218","RN7SKP184"
"18445","ENSG00000199219.1","ENSG00000199219","RNU6-500P"
"18446","ENSG00000199220.1","ENSG00000199220","ENSG00000199220.1"
"18447","ENSG00000199222.1","ENSG00000199222","ENSG00000199222.1"
"18448","ENSG00000199223.1","ENSG00000199223","ENSG00000199223.1"
"18449","ENSG00000199224.1","ENSG00000199224","ENSG00000199224.1"
"18450","ENSG00000199226.1","ENSG00000199226","RNU6-50P"
"18451","ENSG00000199231.1","ENSG00000199231","snoU2_19"
"18452","ENSG00000199235.1","ENSG00000199235","ENSG00000199235.1"
"18453","ENSG00000199237.1","ENSG00000199237","RNU6-834P"
"18454","ENSG00000199240.1","ENSG00000199240","RNA5SP46"
"18455","ENSG00000199241.1","ENSG00000199241","ENSG00000199241.1"
"18456","ENSG00000199245.1","ENSG00000199245","ENSG00000199245.1"
"18457","ENSG00000199246.1","ENSG00000199246","RNU6-896P"
"18458","ENSG00000199248.1","ENSG00000199248","RNU6-28P"
"18459","ENSG00000199251.1","ENSG00000199251","RNU6-664P"
"18460","ENSG00000199260.1","ENSG00000199260","RNU6-874P"
"18461","ENSG00000199262.1","ENSG00000199262","ENSG00000199262.1"
"18462","ENSG00000199263.1","ENSG00000199263","ENSG00000199263.1"
"18463","ENSG00000199266.1","ENSG00000199266","SNORA60"
"18464","ENSG00000199270.1","ENSG00000199270","RNA5S12"
"18465","ENSG00000199272.1","ENSG00000199272","RNU6-349P"
"18466","ENSG00000199273.1","ENSG00000199273","ENSG00000199273.1"
"18467","ENSG00000199276.1","ENSG00000199276","RNA5SP26"
"18468","ENSG00000199279.1","ENSG00000199279","RNU6-661P"
"18469","ENSG00000199282.1","ENSG00000199282","ENSG00000199282.1"
"18470","ENSG00000199283.1","ENSG00000199283","RNU1-58P"
"18471","ENSG00000199285.1","ENSG00000199285","ENSG00000199285.1"
"18472","ENSG00000199286.1","ENSG00000199286","RNU6-1094P"
"18473","ENSG00000199287.1","ENSG00000199287","ENSG00000199287.1"
"18474","ENSG00000199289.1","ENSG00000199289","RNU6-502P"
"18475","ENSG00000199290.1","ENSG00000199290","ENSG00000199290.1"
"18476","ENSG00000199291.1","ENSG00000199291","ENSG00000199291.1"
"18477","ENSG00000199293.1","ENSG00000199293","SNORA21"
"18478","ENSG00000199295.1","ENSG00000199295","RNU6-1312P"
"18479","ENSG00000199299.1","ENSG00000199299","RNA5SP430"
"18480","ENSG00000199301.1","ENSG00000199301","RNU6-208P"
"18481","ENSG00000199303.1","ENSG00000199303","ENSG00000199303.1"
"18482","ENSG00000199306.1","ENSG00000199306","RNU6-858P"
"18483","ENSG00000199308.1","ENSG00000199308","RNU6-222P"
"18484","ENSG00000199311.1","ENSG00000199311","SNORD115-34"
"18485","ENSG00000199313.1","ENSG00000199313","RNU4-82P"
"18486","ENSG00000199315.1","ENSG00000199315","RNA5SP347"
"18487","ENSG00000199318.1","ENSG00000199318","RNA5SP52"
"18488","ENSG00000199319.1","ENSG00000199319","RN7SKP25"
"18489","ENSG00000199321.1","ENSG00000199321","ENSG00000199321.1"
"18490","ENSG00000199322.1","ENSG00000199322","RNA5SP183"
"18491","ENSG00000199325.1","ENSG00000199325","RNU4-39P"
"18492","ENSG00000199326.1","ENSG00000199326","RNU6-1298P"
"18493","ENSG00000199327.1","ENSG00000199327","RNU6-230P"
"18494","ENSG00000199331.1","ENSG00000199331","ENSG00000199331.1"
"18495","ENSG00000199332.1","ENSG00000199332","ENSG00000199332.1"
"18496","ENSG00000199334.1","ENSG00000199334","RNA5S11"
"18497","ENSG00000199335.1","ENSG00000199335","RNU6-204P"
"18498","ENSG00000199337.1","ENSG00000199337","RNA5S3"
"18499","ENSG00000199347.1","ENSG00000199347","RNU5E-1"
"18500","ENSG00000199348.1","ENSG00000199348","RNU6-766P"
"18501","ENSG00000199349.1","ENSG00000199349","ENSG00000199349.1"
"18502","ENSG00000199350.1","ENSG00000199350","RNA5SP432"
"18503","ENSG00000199352.1","ENSG00000199352","RNA5S1"
"18504","ENSG00000199354.1","ENSG00000199354","RNA5SP273"
"18505","ENSG00000199357.1","ENSG00000199357","ENSG00000199357.1"
"18506","ENSG00000199360.1","ENSG00000199360","RNU6-1115P"
"18507","ENSG00000199361.1","ENSG00000199361","RNU1-150P"
"18508","ENSG00000199362.1","ENSG00000199362","ENSG00000199362.1"
"18509","ENSG00000199363.1","ENSG00000199363","RF00092"
"18510","ENSG00000199364.1","ENSG00000199364","RNA5SP327"
"18511","ENSG00000199366.1","ENSG00000199366","ENSG00000199366.1"
"18512","ENSG00000199368.1","ENSG00000199368","RNU6-1084P"
"18513","ENSG00000199370.1","ENSG00000199370","ENSG00000199370.1"
"18514","ENSG00000199373.1","ENSG00000199373","RNA5SP453"
"18515","ENSG00000199377.1","ENSG00000199377","RNU5F-1"
"18516","ENSG00000199378.1","ENSG00000199378","ENSG00000199378.1"
"18517","ENSG00000199381.1","ENSG00000199381","RNU6-79P"
"18518","ENSG00000199385.1","ENSG00000199385","RNU6-369P"
"18519","ENSG00000199390.1","ENSG00000199390","SNORD114-7"
"18520","ENSG00000199392.1","ENSG00000199392","ENSG00000199392.1"
"18521","ENSG00000199394.1","ENSG00000199394","RNU6-600P"
"18522","ENSG00000199395.1","ENSG00000199395","RNA5SP93"
"18523","ENSG00000199396.1","ENSG00000199396","RNA5S5"
"18524","ENSG00000199398.1","ENSG00000199398","ENSG00000199398.1"
"18525","ENSG00000199400.1","ENSG00000199400","RNY4P19"
"18526","ENSG00000199402.1","ENSG00000199402","RNA5SP308"
"18527","ENSG00000199404.1","ENSG00000199404","RNA5SP250"
"18528","ENSG00000199405.1","ENSG00000199405","SNORA1B"
"18529","ENSG00000199407.1","ENSG00000199407","RNA5SP301"
"18530","ENSG00000199409.1","ENSG00000199409","ENSG00000199409.1"
"18531","ENSG00000199410.1","ENSG00000199410","ENSG00000199410.1"
"18532","ENSG00000199411.1","ENSG00000199411","SNORD62"
"18533","ENSG00000199415.1","ENSG00000199415","RNA5SP370"
"18534","ENSG00000199420.1","ENSG00000199420","RN7SKP170"
"18535","ENSG00000199422.1","ENSG00000199422","VTRNA3-1P"
"18536","ENSG00000199424.1","ENSG00000199424","ENSG00000199424.1"
"18537","ENSG00000199426.1","ENSG00000199426","RNU1-108P"
"18538","ENSG00000199432.1","ENSG00000199432","ENSG00000199432.1"
"18539","ENSG00000199436.1","ENSG00000199436","SNORD9"
"18540","ENSG00000199440.1","ENSG00000199440","ENSG00000199440.1"
"18541","ENSG00000199442.1","ENSG00000199442","ENSG00000199442.1"
"18542","ENSG00000199444.1","ENSG00000199444","ENSG00000199444.1"
"18543","ENSG00000199446.1","ENSG00000199446","RNU6-543P"
"18544","ENSG00000199448.1","ENSG00000199448","RNU6-845P"
"18545","ENSG00000199450.1","ENSG00000199450","RNA5SP276"
"18546","ENSG00000199453.1","ENSG00000199453","SNORD115-12"
"18547","ENSG00000199454.1","ENSG00000199454","RNA5SP388"
"18548","ENSG00000199455.1","ENSG00000199455","RNA5SP191"
"18549","ENSG00000199458.1","ENSG00000199458","RNU4-35P"
"18550","ENSG00000199459.1","ENSG00000199459","ENSG00000199459.1"
"18551","ENSG00000199460.2","ENSG00000199460","RNU6-1216P"
"18552","ENSG00000199461.1","ENSG00000199461","ENSG00000199461.1"
"18553","ENSG00000199466.1","ENSG00000199466","ENSG00000199466.1"
"18554","ENSG00000199468.1","ENSG00000199468","RNU6-556P"
"18555","ENSG00000199469.1","ENSG00000199469","RNU1-62P"
"18556","ENSG00000199470.1","ENSG00000199470","ENSG00000199470.1"
"18557","ENSG00000199471.1","ENSG00000199471","ENSG00000199471.1"
"18558","ENSG00000199472.1","ENSG00000199472","ENSG00000199472.1"
"18559","ENSG00000199473.1","ENSG00000199473","ENSG00000199473.1"
"18560","ENSG00000199474.1","ENSG00000199474","ENSG00000199474.1"
"18561","ENSG00000199475.1","ENSG00000199475","RN7SKP104"
"18562","ENSG00000199476.1","ENSG00000199476","ENSG00000199476.1"
"18563","ENSG00000199477.1","ENSG00000199477","ENSG00000199477.1"
"18564","ENSG00000199480.1","ENSG00000199480","RNA5SP389"
"18565","ENSG00000199482.1","ENSG00000199482","RNU6-633P"
"18566","ENSG00000199483.1","ENSG00000199483","RNU4-15P"
"18567","ENSG00000199487.1","ENSG00000199487","ENSG00000199487.1"
"18568","ENSG00000199488.1","ENSG00000199488","RNU1-70P"
"18569","ENSG00000199489.1","ENSG00000199489","SNORD115-25"
"18570","ENSG00000199490.1","ENSG00000199490","ENSG00000199490.1"
"18571","ENSG00000199492.1","ENSG00000199492","RNU6-1313P"
"18572","ENSG00000199497.1","ENSG00000199497","RNU1-94P"
"18573","ENSG00000199506.1","ENSG00000199506","RNU6-247P"
