Beck,Calabro,Wolf,Teschendorff,Change
,,,,C3orf26
,,,,APOO
,,,,PFN1
,,,,PLOD2
,,,,MRPL37
,,,,LYAR
,,,,GLRX3
,,,,PHF19
,,,,USPL1
,,,,PSMD12
,,,,TPRKB
,,,,EIF4EBP1
,,,,TAGLN
,,,,MNAT1
,,,,EIF4G1
,,,,DLEU2
,,,,APITD1
,,,,SPRYD7
,,,,GSTCD
,,,,PNN
,,,,COQ2
,,,,UQCR10
,,,,DLEU2
,,,,RGS8
,,,,MKKS
,,,,HSPB11
,,,,LRRC40
,,,,MRPS28
,,,,FLNC
,,,,PTPLB
,,,,IPO4
,,,,F3
,,,,C16orf61
,,,,SKA2
,,,,DCK
,,,,WDHD1
,,,,MT3
,,,,MFSD11
,,,,PSMD2
,,,,SLC16A1
,,,,TUBA4A
,,,,PLG
,,,,LMNB2
,,,,SRM
,,,,LSM4
,,,,ID3
,,,,MCM7
,,,,CBX1
,,,,MYL6
,,,,TPM1
,,,,MYCBP
,,,,SNX17
,,,,GGH
,,,,SLC25A5
,,,,SNRPA1
,,,,SDC1
,,,,ADAMTS1
,,,,LOXL2
,,,,GNG11
,,,,SNRPB
,,,,DHFR
,,,,TPI1
,,,,SNRPD1
,,,,SMS
,,,,NUPL1
,,,,STK17A
,,,,FARSB
,,,,IMP4
,,,,PDIA4
,,,,BRIP1
,,,,HYLS1
,,,,PPIH
,,,,POLE2
,,,,PFKP
,,,,
